Query,Label
What are my pending expense reports?,Your pending expense reports
Show me my pending expense reports.,Your pending expense reports
Do I have any pending expense reports?,Your pending expense reports
List my pending expense reports.,Your pending expense reports
Any pending expense reports for me?,Your pending expense reports
Check my pending expense reports.,Your pending expense reports
What expense reports are still pending?,Your pending expense reports
How many expense reports are pending for me?,Your pending expense reports
Pending expense reports for my account?,Your pending expense reports
Display my pending expense reports.,Your pending expense reports
View my pending expense reports.,Your pending expense reports
Do I have any unsubmitted expense reports?,Your pending expense reports
Any expense reports pending submission?,Your pending expense reports
Pending expense reports status.,Your pending expense reports
Get my pending expense reports.,Your pending expense reports
Find my pending expense reports.,Your pending expense reports
Pending reports for expenses.,Your pending expense reports
What is the status of my pending expense reports?,Your pending expense reports
Can you show my pending expense reports?,Your pending expense reports
Show the list of my pending expense reports.,Your pending expense reports
How many expense reports do I have pending?,Your pending expense reports
Tell me about my pending expense reports.,Your pending expense reports
Review my pending expense reports.,Your pending expense reports
List of my pending expense reports.,Your pending expense reports
Check the pending expense reports for me.,Your pending expense reports
My pending expense reports details.,Your pending expense reports
Expense reports still pending.,Your pending expense reports
Any of my expense reports still pending?,Your pending expense reports
What pending expense reports do I have?,Your pending expense reports
Can I see my pending expense reports?,Your pending expense reports
Pending expense reports list for me.,Your pending expense reports
What expense reports are awaiting approval?,Your pending expense reports
Do I have any expense reports pending approval?,Your pending expense reports
Show my expense reports pending manager approval.,Your pending expense reports
Which of my expense reports are still pending approval?,Your pending expense reports
List my pending approval expense reports.,Your pending expense reports
Are there any of my reports waiting for approval?,Your pending expense reports
Check the status of my pending expense reports.,Your pending expense reports
Show me the expense reports awaiting approval.,Your pending expense reports
What are the expense reports still not approved?,Your pending expense reports
Pending approval expense reports in my account?,Your pending expense reports
Do I have any reports pending approval?,Your pending expense reports
Display my expense reports pending approval.,Your pending expense reports
Which expense reports are waiting for approval?,Your pending expense reports
Any of my expense reports awaiting approval?,Your pending expense reports
Are there any expense reports I submitted which are pending for approval?,Your pending expense reports
Which reports are awaiting manager's approval?,Your pending expense reports
What are my expense reports waiting for approval?,Your pending expense reports
List the expense reports awaiting approval.,Your pending expense reports
Are any of my expense reports still not approved?,Your pending expense reports
Any expense reports pending approval from my manager?,Your pending expense reports
Check for expense reports awaiting approval.,Your pending expense reports
Show my unapproved expense reports.,Your pending expense reports
What are the expense reports still awaiting approval?,Your pending expense reports
Show my reports that need approval,Your pending expense reports
show my reports needing approval,Your pending expense reports
Which expense reports have not been approved yet by my manager?,Your pending expense reports
Do I have any expense reports which are unapproved?,Your pending expense reports
Show pending approval reports.,Your pending expense reports
List expense reports awaiting approval from my manager.,Your pending expense reports
Are there any reports still pending approval?,Your pending expense reports
Which of my expense reports are not approved yet?,Your pending expense reports
Show reports pending manager's approval for me.,Your pending expense reports
Do I have any reports still not approved?,Your pending expense reports
Pending approval expense reports overview.,Your pending expense reports
What reports are awaiting approval from my manager?,Your pending expense reports
List all unapproved expense reports.,Your pending expense reports
Which of my expense reports are awaiting approval yet?,Your pending expense reports
my reports needing approval,Your pending expense reports
Show me the reports awaiting approval.,Your pending expense reports
Which reports have not been approved yet?,Your pending expense reports
Pending approval status for my expense reports?,Your pending expense reports
Which expense reports are awaiting manager's approval?,Your pending expense reports
What are the expense reports pending approval?,Your pending expense reports
Do I have any unapproved reports?,Your pending expense reports
Do I have any reports still awaiting approval?,Your pending expense reports
Do I have any unapproved expense reports pendin?,Your pending expense reports
Show the status of my expense reports awaiting approval.,Your pending expense reports
Any expense reports I submitted still waiting for approval?,Your pending expense reports
Which reports are not yet approved?,Your pending expense reports
List my expense reports that are awaiting approval.,Your pending expense reports
Are there any reports I submitted that are pending?,Your pending expense reports
What submitted reports are still not approved?,Your pending expense reports
Which of my submitted reports are waiting for approval?,Your pending expense reports
